ID,Origin,Description,Parameter,Data Type,Polling Interval,Retention Time,Status,Thresholds,Template,Related Object
3328,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,94,22163: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,94,22163')",String,default,default,Active,,testhost2,
3327,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,95,22177: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,95,22177')",String,default,default,Active,,testhost2,
3326,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,96,22191: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,96,22191')",String,default,default,Active,,testhost2,
3325,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,97,22205: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,97,22205')",String,default,default,Active,,testhost2,
3324,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,98,22219: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,98,22219')",String,default,default,Active,,testhost2,
3323,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,99,22234: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,99,22234')",String,default,default,Active,,testhost2,
3322,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tpadmsv,10,21914: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tpadmsv,10,21914')",String,default,default,Active,,testhost2,
3321,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tpadmsv,11,21915: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tpadmsv,11,21915')",String,default,default,Active,,testhost2,
3320,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,240,22701: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,240,22701')",String,default,default,Active,,testhost2,
3319,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,241,22702: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,241,22702')",String,default,default,Active,,testhost2,
3318,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,242,22703: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,242,22703')",String,default,default,Active,,testhost2,
3317,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,243,22704: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,243,22704')",String,default,default,Active,,testhost2,
